"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"15.05.2023","27.183,9","26.920,4","27.651,7","26.752,1","53,27K","0,98%"
"14.05.2023","26.920,0","26.777,4","27.176,1","26.609,9","26,35K","0,53%"
"13.05.2023","26.777,5","26.798,7","27.011,9","26.695,6","27,95K","-0,08%"
"12.05.2023","26.799,2","26.983,1","27.044,0","25.853,1","87,49K","-0,68%"
"11.05.2023","26.983,5","27.604,3","27.607,4","26.766,2","62,85K","-2,25%"
"10.05.2023","27.603,3","27.634,3","28.311,7","26.885,7","91,45K","-0,11%"
"09.05.2023","27.634,9","27.670,5","27.816,0","27.366,3","49,75K","-0,13%"
"08.05.2023","27.670,5","28.424,8","28.627,8","27.280,3","85,72K","-2,65%"
"07.05.2023","28.424,8","28.857,1","29.122,0","28.419,6","36,50K","-1,50%"
"06.05.2023","28.857,1","29.512,8","29.816,4","28.414,9","58,94K","-2,22%"
"05.05.2023","29.513,2","28.842,2","29.653,9","28.825,3","74,52K","2,33%"
"04.05.2023","28.842,1","29.023,6","29.352,7","28.687,4","53,80K","-0,63%"
"03.05.2023","29.023,6","28.669,1","29.244,7","28.164,4","81,22K","1,24%"
"02.05.2023","28.669,1","28.079,0","28.877,4","27.913,2","65,33K","2,11%"
"01.05.2023","28.077,6","29.252,1","29.329,6","27.685,9","84,36K","-4,02%"
"30.04.2023","29.252,1","29.235,1","29.941,3","29.095,0","47,62K","0,06%"
"29.04.2023","29.234,1","29.318,4","29.425,5","29.058,5","25,72K","-0,30%"
"28.04.2023","29.321,8","29.475,9","29.587,2","28.927,8","69,88K","-0,52%"
"27.04.2023","29.475,9","28.424,5","29.859,8","28.392,4","121,63K","3,70%"
"26.04.2023","28.424,6","28.298,8","29.995,7","27.307,8","164,31K","0,44%"
"25.04.2023","28.298,8","27.510,1","28.375,6","27.201,1","65,31K","2,87%"
"24.04.2023","27.509,3","27.591,4","27.978,8","27.054,3","66,74K","-0,30%"
"23.04.2023","27.591,4","27.813,8","27.815,0","27.388,5","41,77K","-0,80%"
"22.04.2023","27.813,9","27.264,8","27.872,0","27.165,7","44,30K","2,01%"
"21.04.2023","27.264,8","28.240,5","28.353,4","27.171,1","98,72K","-3,46%"
"20.04.2023","28.240,5","28.813,7","29.082,1","28.032,4","95,45K","-1,99%"
"19.04.2023","28.813,7","30.382,2","30.408,4","28.641,1","111,27K","-5,16%"
"18.04.2023","30.382,2","29.434,1","30.470,1","29.149,2","76,58K","3,22%"
"17.04.2023","29.434,9","30.310,8","30.312,2","29.274,0","71,90K","-2,89%"
"16.04.2023","30.310,3","30.299,2","30.545,3","30.134,6","34,48K","0,04%"
"15.04.2023","30.299,6","30.472,6","30.586,5","30.208,8","31,71K","-0,57%"
"14.04.2023","30.472,5","30.387,4","30.964,9","30.026,0","98,38K","0,28%"
"13.04.2023","30.387,4","29.892,4","30.524,1","29.864,5","65,87K","1,68%"
"12.04.2023","29.886,4","30.209,8","30.473,0","29.679,5","78,69K","-1,07%"
"11.04.2023","30.209,6","29.641,0","30.484,6","29.597,8","89,38K","1,92%"
"10.04.2023","29.641,0","28.326,5","29.755,4","28.182,9","85,73K","4,64%"
"09.04.2023","28.326,6","27.941,2","28.522,7","27.809,2","39,35K","1,38%"
"08.04.2023","27.941,2","27.910,4","28.153,1","27.863,8","23,73K","0,11%"
"07.04.2023","27.910,4","28.037,6","28.102,5","27.779,4","30,94K","-0,45%"
"06.04.2023","28.036,7","28.173,5","28.173,5","27.734,5","51,29K","-0,49%"
"05.04.2023","28.173,5","28.164,4","28.744,4","27.823,5","77,32K","0,03%"
"04.04.2023","28.164,4","27.802,2","28.429,1","27.668,9","64,06K","1,30%"
"03.04.2023","27.802,1","28.194,7","28.458,4","27.256,9","98,00K","-1,41%"
"02.04.2023","28.198,3","28.456,1","28.522,8","27.871,7","45,04K","-0,91%"
"01.04.2023","28.456,1","28.473,7","28.795,1","28.285,6","38,09K","-0,06%"
"31.03.2023","28.473,7","28.029,3","28.646,3","27.587,5","98,44K","1,58%"
"30.03.2023","28.029,5","28.350,3","29.160,4","27.716,7","122,51K","-1,13%"
"29.03.2023","28.350,4","27.262,9","28.627,4","27.249,8","109,32K","3,99%"
"28.03.2023","27.262,2","27.127,8","27.465,0","26.665,6","94,16K","0,49%"
"27.03.2023","27.129,8","27.974,8","28.023,3","26.611,5","107,24K","-3,02%"
"26.03.2023","27.973,5","27.474,9","28.153,7","27.429,1","60,64K","1,81%"
"25.03.2023","27.475,6","27.462,2","27.761,9","27.176,7","61,36K","0,05%"
"24.03.2023","27.462,2","28.306,9","28.374,5","27.026,5","110,36K","-3,00%"
"23.03.2023","28.310,7","27.262,8","28.734,1","27.144,6","158,46K","3,85%"
"22.03.2023","27.261,7","28.114,2","28.760,3","26.668,7","262,03K","-3,03%"
"21.03.2023","28.114,0","27.719,8","28.437,8","27.350,6","438,78K","1,42%"
"20.03.2023","27.720,5","27.958,9","28.457,8","27.157,0","503,90K","-0,85%"
"19.03.2023","27.958,7","26.914,5","28.347,3","26.844,6","393,27K","3,88%"
"18.03.2023","26.914,5","27.391,9","27.659,1","26.688,7","392,47K","-1,74%"
"17.03.2023","27.391,8","25.004,4","27.742,2","24.900,1","674,96K","9,55%"
"16.03.2023","25.004,1","24.283,2","25.139,0","24.147,9","462,58K","2,97%"
"15.03.2023","24.282,7","24.699,6","25.108,9","23.932,4","614,31K","-1,69%"
"14.03.2023","24.699,7","24.121,5","26.365,9","23.994,6","753,06K","2,43%"
"13.03.2023","24.114,4","21.994,8","24.406,2","21.859,6","733,63K","9,64%"
"12.03.2023","21.994,8","20.465,0","22.028,6","20.294,2","455,69K","7,46%"
"11.03.2023","20.467,5","20.156,5","20.669,5","19.796,7","453,46K","1,54%"
"10.03.2023","20.156,7","20.362,0","20.362,6","19.591,8","655,27K","-1,01%"
"09.03.2023","20.361,8","21.710,8","21.826,5","20.079,6","468,76K","-6,21%"
"08.03.2023","21.710,8","22.197,8","22.274,3","21.661,3","316,51K","-2,19%"
"07.03.2023","22.197,8","22.410,1","22.535,1","21.968,6","304,75K","-0,95%"
"06.03.2023","22.410,0","22.428,2","22.595,4","22.320,1","215,31K","-0,08%"
"05.03.2023","22.428,3","22.347,1","22.636,7","22.213,5","160,57K","0,36%"
"04.03.2023","22.347,1","22.354,7","22.403,7","22.167,4","123,93K","-0,03%"
"03.03.2023","22.354,4","23.465,6","23.473,4","22.051,9","344,63K","-4,73%"
"02.03.2023","23.465,4","23.642,2","23.780,5","23.208,7","249,26K","-0,75%"
"01.03.2023","23.642,2","23.130,6","23.914,1","23.025,3","328,77K","2,21%"
"28.02.2023","23.130,5","23.494,0","23.595,0","23.033,8","275,10K","-1,55%"
"27.02.2023","23.494,1","23.558,7","23.876,2","23.166,8","297,65K","-0,27%"
"26.02.2023","23.558,7","23.166,1","23.671,8","23.066,0","209,12K","1,69%"
"25.02.2023","23.166,1","23.191,3","23.215,3","22.777,4","198,35K","-0,11%"
