ID,sexo,idade,gr_idade,situ_ocup
1,Homem,24,"[15,30)",Ocupada
2,Homem,25,"[15,30)",Ocupada
3,Homem,15,"[15,30)",Desocupada
4,Homem,23,"[15,30)",Ocupada
5,Homem,25,"[15,30)",Ocupada
6,Homem,23,"[15,30)",Inativa
7,Homem,25,"[15,30)",Ocupada
8,Homem,15,"[15,30)",Inativa
9,Homem,17,"[15,30)",Inativa
10,Homem,17,"[15,30)",Inativa
11,Homem,20,"[15,30)",Ocupada
12,Homem,19,"[15,30)",Inativa
13,Homem,19,"[15,30)",Desocupada
14,Homem,25,"[15,30)",Ocupada
15,Homem,18,"[15,30)",Inativa
16,Homem,26,"[15,30)",Ocupada
17,Homem,28,"[15,30)",Ocupada
18,Homem,15,"[15,30)",Inativa
19,Homem,21,"[15,30)",Inativa
20,Homem,24,"[15,30)",Ocupada
21,Homem,19,"[15,30)",Ocupada
22,Homem,18,"[15,30)",Inativa
23,Homem,28,"[15,30)",Ocupada
24,Homem,28,"[15,30)",Inativa
25,Homem,20,"[15,30)",Ocupada
26,Homem,24,"[15,30)",Desocupada
27,Homem,21,"[15,30)",Inativa
28,Homem,25,"[15,30)",Ocupada
29,Homem,15,"[15,30)",Inativa
30,Homem,17,"[15,30)",Inativa
31,Homem,15,"[15,30)",Inativa
32,Homem,18,"[15,30)",Ocupada
33,Homem,16,"[15,30)",Inativa
34,Homem,18,"[15,30)",Inativa
35,Homem,15,"[15,30)",Inativa
36,Homem,15,"[15,30)",Ocupada
37,Homem,22,"[15,30)",Desocupada
38,Homem,27,"[15,30)",Ocupada
39,Homem,15,"[15,30)",Inativa
40,Homem,24,"[15,30)",Desocupada
41,Homem,20,"[15,30)",Ocupada
42,Homem,20,"[15,30)",Ocupada
43,Homem,24,"[15,30)",Ocupada
44,Homem,28,"[15,30)",Ocupada
45,Homem,19,"[15,30)",Ocupada
46,Homem,23,"[15,30)",Ocupada
47,Homem,25,"[15,30)",Ocupada
48,Homem,19,"[15,30)",Inativa
49,Homem,19,"[15,30)",Inativa
50,Homem,19,"[15,30)",Desocupada
51,Homem,20,"[15,30)",Desocupada
52,Homem,21,"[15,30)",Ocupada
53,Homem,26,"[15,30)",Inativa
54,Homem,15,"[15,30)",Inativa
55,Homem,17,"[15,30)",Inativa
56,Homem,22,"[15,30)",Inativa
57,Homem,29,"[15,30)",Ocupada
58,Homem,20,"[15,30)",Inativa
59,Homem,21,"[15,30)",Ocupada
60,Homem,15,"[15,30)",Inativa
61,Homem,18,"[15,30)",Inativa
62,Homem,26,"[15,30)",Ocupada
63,Homem,19,"[15,30)",Ocupada
64,Homem,16,"[15,30)",Inativa
65,Homem,19,"[15,30)",Desocupada
66,Homem,24,"[15,30)",Ocupada
67,Homem,19,"[15,30)",Desocupada
68,Homem,28,"[15,30)",Ocupada
69,Homem,27,"[15,30)",Inativa
70,Homem,25,"[15,30)",Ocupada
71,Homem,19,"[15,30)",Ocupada
72,Homem,15,"[15,30)",Inativa
73,Homem,18,"[15,30)",Inativa
74,Homem,24,"[15,30)",Ocupada
75,Homem,24,"[15,30)",Ocupada
76,Homem,20,"[15,30)",Inativa
77,Homem,29,"[15,30)",Ocupada
78,Homem,16,"[15,30)",Inativa
79,Homem,28,"[15,30)",Desocupada
80,Homem,17,"[15,30)",Inativa
81,Homem,21,"[15,30)",Inativa
82,Homem,16,"[15,30)",Inativa
83,Homem,16,"[15,30)",Inativa
84,Homem,28,"[15,30)",Ocupada
85,Homem,25,"[15,30)",Inativa
86,Homem,28,"[15,30)",Ocupada
87,Homem,26,"[15,30)",Ocupada
88,Homem,22,"[15,30)",Ocupada
89,Homem,24,"[15,30)",Ocupada
90,Homem,22,"[15,30)",Ocupada
91,Homem,20,"[15,30)",Desocupada
92,Homem,17,"[15,30)",Ocupada
93,Homem,29,"[15,30)",Ocupada
94,Homem,28,"[15,30)",Inativa
95,Homem,22,"[15,30)",Desocupada
96,Homem,22,"[15,30)",Inativa
97,Homem,19,"[15,30)",Inativa
98,Homem,24,"[15,30)",Ocupada
99,Homem,20,"[15,30)",Inativa
100,Homem,18,"[15,30)",Inativa
101,Homem,28,"[15,30)",Desocupada
102,Homem,25,"[15,30)",Inativa
